DO:3SgH	Number[obj]=Sing|Person[obj]=3|Gender[obj]=Com		V	3rd Person Singular Human Direct Object	სუბ-3მხ				
DO:3SgNH	Number[obj]=Sing|Person[obj]=3|Gender[obj]=Neut		V	3rd Person Singular Non-Human Direct Object	სუბ-3მხ				
DO:1Pl	Number[obj]=Plur|Person[obj]=1		V	1st Person Plural Direct Object	სუბ-1მრ				
DO:2Pl	Number[obj]=Plur|Person[obj]=2		V	2nd Person Plural Direct Object	სუბ-2მრ				
DO:3Pl	Number[obj]=Plur|Person[obj]=3		V	3rd Person Plural Direct Object	სუბ-3მხ				
DO:Rel	Person[obj]=Rel		V	Relative Direct Object	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
DO:Rec	Person[obj]=Rec		V	Reciprocal Direct Object	სუბ-3მხ				
DO:Indef			V	3rd Person Plural Direct Object	სუბ-3მხ				
DO:ҿ			V	Incorporated Direct Object ҿ-	სუბ-3მხ				
DO:ҿа́а			V	Incorporated Direct Object ҿа́а-	სუბ-3მხ				

IO:1Sg	Number[io]=Sing|Person[io]=1		V	1st Person Singular Indirect Object	სუბ-1მხ				
IO:2SgM	Number[io]=Sing|Person[io]=2|Gender[io]=Masc		V	2nd Person Singular Masculine Indirect Object	სუბ-2				
IO:2SgF	Number[io]=Sing|Person[io]=2|Gender[io]=Fem		V	2nd Person Singular Feminine Indirect Object	სუბ-2				
IO:3SgM	Number[io]=Sing|Person[io]=3|Gender[io]=Masc		V	3rd Person Singular Masculine Indirect Object	სუბ-3				
IO:3SgF	Number[io]=Sing|Person[io]=3|Gender[io]=Fem		V	3rd Person Singular Feminine Indirect Object	სუბ-3მრ				
IO:3SgNH	Number[io]=Sing|Person[io]=3|Gender[io]=Neut		V	3rd Person Singular Non-Human Indirect Object	სუბ-3მხ				
IO:1Pl	Number[io]=Plur|Person[io]=1		V	1st Person Plural Indirect Object	სუბ-1მრ				
IO:2Pl	Number[io]=Plur|Person[io]=2		V	2nd Person Plural Indirect Object	სუბ-2მრ				
IO:3Pl	Number[io]=Plur|Person[io]=3		V	3rd Person Plural Indirect Object	სუბ-3მხ				
IO:Rel	Person[io]=Rel		V	Relative Indirect Object	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
IO:Rec	Person[io]=Rec		V	Reciprocal Indirect Object	სუბ-3მხ				

LO:1Sg	Number[lo]=Sing|Person[lo]=1		V	1st Person Singular Local Object	სუბ-1მხ				
LO:2SgM	Number[lo]=Sing|Person[lo]=2|Gender[lo]=Masc		V	2nd Person Singular Masculine Local Object	სუბ-2				
LO:2SgF	Number[lo]=Sing|Person[lo]=2|Gender[lo]=Fem		V	2nd Person Singular Feminine Local Object	სუბ-2				
LO:3SgM	Number[lo]=Sing|Person[lo]=3|Gender[lo]=Masc		V	3rd Person Singular Masculine Local Object	სუბ-3				
LO:3SgF	Number[lo]=Sing|Person[lo]=3|Gender[lo]=Fem		V	3rd Person Singular Feminine Local Object	სუბ-3მრ				
LO:3SgNH	Number[lo]=Sing|Person[lo]=3|Gender[lo]=Neut		V	3rd Person Singular Non-Human Local Object	სუბ-3მხ				
[LO:3SgNH]	Number[lo]=Sing|Person[lo]=3|Gender[lo]=Neut		V	3rd Person Singular Non-Human Local Object	სუბ-3მხ				
LO:1Pl	Number[lo]=Plur|Person[lo]=1		V	1st Person Plural Local Object	სუბ-1მრ				
LO:2Pl	Number[lo]=Plur|Person[lo]=2		V	2nd Person Plural Local Object	სუბ-2მრ				
LO:3Pl	Number[lo]=Plur|Person[lo]=3		V	3rd Person Plural Local Object	სუბ-3მხ				
LO:Rel	Person[lo]=Rel		V	Relative Local Object	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
LO:Rec	Person[lo]=Rec		V	Reciprocal Local Object	სუბ-3მხ				

RO:1Sg	Number[ro]=Sing|Person[ro]=1		V	1st Person Singular Relational Object	სუბ-1მხ				
RO:2SgM	Number[ro]=Sing|Person[ro]=2|Gender[ro]=Masc		V	2nd Person Singular Masculine Relational Object	სუბ-2				
RO:2SgF	Number[ro]=Sing|Person[ro]=2|Gender[ro]=Fem		V	2nd Person Singular Feminine Relational Object	სუბ-2				
RO:3SgM	Number[ro]=Sing|Person[ro]=3|Gender[ro]=Masc		V	3rd Person Singular Masculine Relational Object	სუბ-3				
RO:3SgF	Number[ro]=Sing|Person[ro]=3|Gender[ro]=Fem		V	3rd Person Singular Feminine Relational Object	სუბ-3მრ				
RO:3SgNH	Number[ro]=Sing|Person[ro]=3|Gender[ro]=Neut		V	3rd Person Singular Non-Human Relational Object	სუბ-3მხ				
RO:1Pl	Number[ro]=Plur|Person[ro]=1		V	1st Person Plural Relational Object	სუბ-1მრ				
RO:2Pl	Number[ro]=Plur|Person[ro]=2		V	2nd Person Plural Relational Object	სუბ-2მრ				
RO:3Pl	Number[ro]=Plur|Person[ro]=3		V	3rd Person Plural Relational Object	სუბ-3მხ				
RO:Rel	Person[ro]=Rel		V	Relative Relational Object	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
RO:Rec	Person[ro]=Rec		V	Reciprocal Relational Object	სუბ-3მხ				

PO:1Sg	Number[po]=Sing|Person[po]=1		V	1st Person Singular Potential Object	სუბ-1მხ				
PO:2SgM	Number[po]=Sing|Person[po]=2|Gender[po]=Masc		V	2nd Person Singular Masculine Potential Object	სუბ-2				
PO:2SgF	Number[po]=Sing|Person[po]=2|Gender[po]=Fem		V	2nd Person Singular Feminine Potential Object	სუბ-2				
PO:3SgM	Number[po]=Sing|Person[po]=3|Gender[po]=Masc		V	3rd Person Singular Masculine Potential Object	სუბ-3				
PO:3SgF	Number[po]=Sing|Person[po]=3|Gender[po]=Fem		V	3rd Person Singular Feminine Potential Object	სუბ-3მრ				
PO:3SgNH	Number[po]=Sing|Person[po]=3|Gender[po]=Neut		V	3rd Person Singular Non-Human Potential Object	სუბ-3მხ				
PO:1Pl	Number[po]=Plur|Person[po]=1		V	1st Person Plural Potential Object	სუბ-1მრ				
PO:2Pl	Number[po]=Plur|Person[po]=2		V	2nd Person Plural Potential Object	სუბ-2მრ				
PO:3Pl	Number[po]=Plur|Person[po]=3		V	3rd Person Plural Potential Object	სუბ-3მხ				
PO:Rel	Person[po]=Rel		V	Relative Potential Object	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
PO:Rec	Person[po]=Rec		V	Reciprocal Potential Object	სუბ-3მხ				

Cs:1Sg	Number[cs]=Sing|Person[cs]=1		V	1st Person Singular Causee	სუბ-1მხ				
Cs:2SgM	Number[cs]=Sing|Person[cs]=2|Gender[cs]=Masc		V	2nd Person Singular Masculine Causee	სუბ-2				
Cs:2SgF	Number[cs]=Sing|Person[cs]=2|Gender[cs]=Fem		V	2nd Person Singular Feminine Causee	სუბ-2				
Cs:3SgM	Number[cs]=Sing|Person[cs]=3|Gender[cs]=Masc		V	3rd Person Singular Masculine Causee	სუბ-3				
Cs:3SgF	Number[cs]=Sing|Person[cs]=3|Gender[cs]=Fem		V	3rd Person Singular Feminine Causee	სუბ-3მრ				
Cs:3SgNH	Number[cs]=Sing|Person[cs]=3|Gender[cs]=Neut		V	3rd Person Singular Non-Human Causee	სუბ-3მხ				
Cs:1Pl	Number[cs]=Plur|Person[cs]=1		V	1st Person Plural Causee	სუბ-1მრ				
Cs:2Pl	Number[cs]=Plur|Person[cs]=2		V	2nd Person Plural Causee	სუბ-2მრ				
Cs:3Pl	Number[cs]=Plur|Person[cs]=3		V	3rd Person Plural Causee	სუბ-3მხ				
Cs:Rel	Person[cs]=Rel		V	Relative Causee	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
Cs:Rec	Person[cs]=Rec		V	Reciprocal Causee	სუბ-3მხ				

Refl:1Sg	Number[refl]=Sing|Person[refl]=1		V	1st Person Singular Reflexive Marker	სუბ-1მხ				
Refl:2SgM	Number[refl]=Sing|Person[refl]=2|Gender[refl]=Masc		V	2nd Person Singular Masculine Reflexive Marker	სუბ-2				
Refl:2SgF	Number[refl]=Sing|Person[refl]=2|Gender[refl]=Fem		V	2nd Person Singular Feminine Reflexive Marker	სუბ-2				
Refl:3SgM	Number[refl]=Sing|Person[refl]=3|Gender[refl]=Masc		V	3rd Person Singular Masculine Reflexive Marker	სუბ-3				
Refl:3SgF	Number[refl]=Sing|Person[refl]=3|Gender[refl]=Fem		V	3rd Person Singular Feminine Reflexive Marker	სუბ-3მრ				
Refl:3SgNH	Number[refl]=Sing|Person[refl]=3|Gender[refl]=Neut		V	3rd Person Singular Non-Human Reflexive Marker	სუბ-3მხ				
Refl:1Pl	Number[refl]=Plur|Person[refl]=1		V	1st Person Plural Reflexive Marker	სუბ-1მრ				
Refl:2Pl	Number[refl]=Plur|Person[refl]=2		V	2nd Person Plural Reflexive Marker	სუბ-2მრ				
Refl:3Pl	Number[refl]=Plur|Person[refl]=3		V	3rd Person Plural Reflexive Marker	სუბ-3მხ				
Refl:Rel	Person[refl]=Rel		V	Relative Reflexive Marker	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			

# has to be reworked
Q:1Sg			Pron Int	1st Person Singular Question Marker	სუბ-1მხ				
Q:2SgM			Pron Int	2nd Person Singular Masculine Question Marker	სუბ-2				
Q:2SgF			Pron Int	2nd Person Singular Feminine Question Marker	სუბ-2				
Q:3SgM			Pron Int	3rd Person Singular Masculine Question Marker	სუბ-3				
Q:3SgF			Pron Int	3rd Person Singular Feminine Question Marker	სუბ-3მრ				
Q:3SgNH			Pron Int	3rd Person Singular Non-Human Question Marker	სუბ-3მხ				
Q:3SgH			Pron Int	3rd Person Singular Human Question Marker	სუბ-3მხ				
Q:3			Pron Int	3rd Person Question Marker	სუბ-3მხ				
Q:1Pl			Pron Int	1st Person Plural Question Marker	სუბ-1მრ				
Q:2Pl			Pron Int	2nd Person Plural Question Marker	სუბ-2მრ				
Q:3Pl			Pron Int	3rd Person Plural Question Marker	სუბ-3მხ				
Q:Rel			Pron Int	3rd Person Plural Question Marker	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
#Meas			Noun	Measure	ზომ		ბოთლი		
#Encl				Enclitics	ენკლ	Ахәҭаҷ			
Prt	PART	x		Particle		Ахәҭаҷ	ҳәа, ба		
#Title			Noun	Work (book etc.) title	წოდ	სახელწოდება	რუსუდანიანი, ვეთხისტყაოსანი		
#Qual			Noun	Qualifier	კვალიფ	კვალიფიკატორი	პროფესორი, გემი,…		
Coll			Noun	Collective	კრებ				
# Mass			Noun	Mass noun	ზომ	ზომა-წონის სახელი			
Name	NameType=Prs		Noun Prop	Person name	სახელი				
